Part number,Price/ Unit,Type,Region,Capacity BTU/Hr,Weight,EER*,Unit Volume
110-1574,34.49,Reciprocating,North America,510,5.68,3.26,81000
111-0810,39.48,Scroll,Europe,920,10.51,4.9,137000
116-7080,32.08,Reciprocating,North America,720,8.16,4.28,47000
116-7532,29.47,Reciprocating,Europe,285,3.31,5.03,82000
122-7151,26.56,Reciprocating,Europe,260,2.97,4.16,66000
126-1065,37.71,Scroll,Europe,780,8.72,4.64,39000
128-9814,31.22,Reciprocating,Europe,420,4.97,3.83,77000
131-4060,31.81,Reciprocating,North America,430,4.74,4.3,350000
135-5677,41.31,Reciprocating,Latin America,240,2.66,5.01,87000
139-2202,31.97,Reciprocating,North America,630,6.93,4.39,41000
142-4903,37.83,Reciprocating,Latin America,345,4.01,5.33,165000
143-1644,34.41,Reciprocating,Europe,600,6.74,4.22,34000
147-4990,28.23,Scroll,North America,825,9.61,3.09,750000
156-7534,33.45,Reciprocating,North America,290,3.44,3.73,55000
157-4140,33.88,Reciprocating,Latin America,350,3.85,4.49,23000
162-5296,29.3,Reciprocating,Europe,435,4.76,4.37,293000
165-4522,36.77,Reciprocating,Latin America,440,4.87,5.26,47000
173-9008,37.07,Reciprocating,Latin America,580,6.49,5.17,117000
182-7808,39.33,Reciprocating,Latin America,625,6.84,4.34,31000
184-5143,30.01,Reciprocating,Europe,230,2.54,5.03,52000
186-4136,39.15,Scroll,North America,895,10.58,3.3,44000
192-1143,40.73,Reciprocating,Latin America,725,8.3,5.29,26000
201-9244,43.78,Reciprocating,Latin America,785,9.03,5.1,98000
209-4727,26.68,Reciprocating,Europe,120,1.36,4.37,71000
223-0730,38.44,Reciprocating,Latin America,330,3.9,4.93,42000
234-4640,37.92,Reciprocating,Latin America,405,4.8,4.49,34000
235-5951,30.56,Reciprocating,North America,1030,11.96,3.45,220000
237-8072,37.07,Reciprocating,Europe,870,9.56,5.02,46000
258-4726,30.85,Reciprocating,North America,275,2.98,3.91,450000
269-9744,32.95,Reciprocating,Europe,700,8.3,4.04,358000
297-7521,32.46,Scroll,North America,1090,12.77,3.8,65000
306-4927,33.34,Reciprocating,Europe,550,5.96,4.49,52000
347-9507,34.39,Reciprocating,Europe,385,4.44,4.47,47000
376-3080,32.71,Reciprocating,North America,280,3.18,4.4,49000
395-0165,28.14,Reciprocating,Europe,245,2.91,4.68,230000
448-4487,33.46,Reciprocating,Europe,230,2.65,4.66,39000
475-5893,32.33,Reciprocating,North America,355,3.91,4.06,55000
509-1084,39.89,Scroll,North America,930,10.48,3.02,47000
577-9733,36.44,Scroll,North America,850,9.73,3.7,69000
601-0639,33.02,Reciprocating,North America,405,4.42,3.86,45000
656-1533,31.98,Scroll,North America,770,8.35,3.19,72000
744-9083,31.66,Reciprocating,North America,725,8.17,4.4,41000
759-6425,35.36,Reciprocating,North America,465,5.02,4.14,75000
845-6688,30.72,Reciprocating,North America,650,7.46,3.67,125000
960-0588,32.98,Reciprocating,North America,560,6.13,3.18,62000
